imdb_title_id	title	original_title	year	date_published	genre	duration	country	language	director	writer	production_company	actors	description	avg_vote	votes	budget	usa_gross_income	worlwide_gross_income	metascore	reviews_from_users	reviews_from_critics
tt9799984	Test3	Falaknuma Das	2019	2019-05-31	Action, Thriller	145	India	Telugu	Vishwak Sen	Chemban Vinod Jose	Vanmaye Creations	Aakash, Ajay, Sunjit Akkinepalli, Master Aman, Aravind, Azhar, Upendra Barman, Basha, Avinash Baswapuram, Bunny, Anmona Chaliha, Chandu, Suri k Chaplin, Prashanthi Charuolingah, Vivek Chepuri	Set in the backdrop of the colonies of falaknuma where a group of youngsters fall into unexpected consequences which lead them to a driving pathway of violence, brutality and ruthlessness.	6.3	543					18.0	3.0
tt9799992	Test7	Sang Krasue	2019	2019-03-14	Drama, Horror, Romance	122	Thailand	Thai	Sitisiri Mongkolsiri	Sitisiri Mongkolsiri, Chookiat Sakveerakul	Nakid	Phantira Pipityakorn, Oabnithi Wiwattanawarang, Sapol Assawamunkong, Surasak Wongthai, Sahatchai 'Stop' Chumrum, Sahajak Boonthanakit, Makara Supinacharoen, Sasithorn Panichnok, Darina Boonchu, Namngen Boonnark, Phakwan Chaowalit, Pankorn Chantasorn, Ittipat Lekuthaiwan, Punnarat Lasutthi, Makhasiri Thepsittha	"In a far-away village, lived an innocent teenage girl, ""Sai"" who later discovered herself inheriting the curse of ""Krasue"". At night, her head would detach from her body and hunts for flesh..."	6.5	1206	$ 1200000		$ 171229		14.0	23.0
tt9801736	Test8	Hvítur, hvítur dagur	2019	2019-09-06	Drama	109	Iceland, Denmark, Sweden	Icelandic	Hlynur Palmason	Hlynur Palmason	Danish Film Institute	Ingvar Sigurdsson, Ída Mekkín Hlynsdóttir, Hilmir Snær Guðnason, Sara Dögg Ásgeirsdóttir, Björn Ingi Hilmarsson, Elma Stefania Agustsdottir, Haraldur Stefansson, Laufey Elíasdóttir, Sigurður Sigurjónsson, Arnmundur Ernst Björnsson, Þór Tulinius, Sverrir Þór Sverrisson, Ari Birgir Ágústsson, Jóhann Kristófer Stefánsson, Þorgils Hlynsson	An off duty police begins to suspect a local man for having had an affair with his recently dead wife. Gradually his obsession for finding out the truth accumulates and inevitably begins to endanger himself and his loved ones.	6.9	2207			$ 615217	80.0	12.0	82.0
tt9805110	Test4	Sangkar	2019	2019-08-29	Drama, Sport	112	Malaysia	Malay	Kabir Bhatia	Mira Mustaffa	Astro Shaw	Zul Ariffin, Remy Ishak, Mira Filzah, Nik Adam Mika, Zarul Albakri, Carliff Carleel, Peter Davis, Aman Graseka, Fadlan Hazim, James McSweeney, Emelda Rosmila, Rashid Salleh, Niezam Zaidi	The road to redemption of a fighter, who seeks forgiveness from the very man he destroyed.	6.9	121	MYR 3000000				9.0	2.0
tt9805504	Test9	Otryv	2019	2019-02-14	Thriller	85	Russia	Russian, English	Tigran Sahakyan	Denis Kosyakov, Alexandr Nazarov	Attraction Film Company	Irina Antonenko, Anastasiya Grachyova, Vladimir Gusev, Denis Kosyakov, Andrey Nazimov, Aleksandr Nikitchenko, Ingrid Olerinskaya, Angelina Pikovskaya, Viktoriya Pyatakina, Kseniya Shumeyko, Sergey Todorov, Marina Vasilenko, Elena Vetrova	Five young adults, who want to celebrate New Years Eve on top of a mountain, get stuck in a gondola lift. What started out as an adventurous party, soon becomes a fight for survival.	4.4	1160			$ 353569		31.0	12.0
tt9805740	Test2	Pasmerkti. Kauno Romanas	2019	2019-02-22	Crime, Drama, Thriller	94	Lithuania	Lithuanian	Ramunas Rudokas	Erikas Kundreckas	Singing Fish	Ramunas Rudokas, Agne Sataite, Sarunas Datenis, Simonas Storpirstis, Tomas Kizelis, Justina Nemanyte, Robertas Lenartavicius	Based on true story of four friends who decided to take over the city. Giedrius is released after serving a long 12 year sentence for unlawful conduct he did with his friends while being a child.	6.1	282			$ 591008		2.0	
tt9806192	Test5	J'ai perdu mon corps	2019	2019-11-29	Animation, Drama, Fantasy	81	France	French	Jérémy Clapin	Jérémy Clapin, Guillaume Laurant	Xilam	Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Alfonso Arfi, Hichem Mesbah, Myriam Loucif, Bellamine Abdelmalek, Maud Le Guenedal, Nicole Favart, Quentin Baillot, Céline Ronté, Deborah Grall, Pascal Rocher, Bruno Hausler, Jocelyn Veluire	A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.	7.6	24010			$ 1136431	80.0	112.0	106.0
tt9806322	Test6	Isi & Ossi	2020	2020-02-14	Comedy, Romance	113	Germany	German	Oliver Kienle	Oliver Kienle	X-Filme Creative Pool	Lisa Vicari, Darcy Rose Byrnes, Dennis Mojen, Lynnea Smith, Langston Uibel, Susan Angelo, Pegah Ferydoni, Ernst Stötzner, Christina Hecke, Lisa Hagmeister, Mostafa Elmorsy, Chris Patrickson, André Eisermann, Hans-Jochen Wagner, Bettina Hoppe	To realize their culinary and boxing dreams, the daughter of a billionaire forms a mutually beneficial alliance with the son of a struggling single mom.	6.4	5423					33.0	15.0
tt9806336	Test1	Betonrausch	2020	2020-04-17	Comedy, Drama	94	Germany	German, English	Cüneyt Kaya	Cüneyt Kaya, Cüneyt Kaya	UFA Fiction	David Kross, Emily Goss, Frederick Lau, Janina Uhse, Enrico Lo Verso, Susan Angelo, David Haack, Dejan Bucin, Jerry Kwarteng, Uwe Preuss, Gia Bay, Sophia Thomalla, Pierre Kiwitt, Hannes Wegener, Anne Schäfer	Charting the rise and fall of three corrupt real estate agents who accumulate absurd wealth in no time but fall into a vortex of fraud, greed and drugs.	5.7	3385				40.0	32.0	26.0
tt9808564	Test10	Happy Sardar	2019	2019-11-28	Comedy, Romance	153	India	Malayalam	Sudip Joshy, Geethika Sudip	Sudip Joshy, Geethika Sudip	Achicha Cinemas	Kalidas Jayaram, Siddique, Javed Jaffrey, Sreenath Bhasi, Merin Philip, Sharafudheen, Sinil Sainuddin, Balu Varghese, Sebastian Sebootty, Maala Parvathi, Praveena, Siddhi Mahajankatti, Dinesh Mohan, Vijilesh Karayad, Anoop Chandran	Happy, a timid Sardar living in Patiala, finds his life turned upside down when he falls in love with Mary, a Malayali Knanaya Christian girl. His folks want a Punjabi shaadi and Mary's father is adamant on having a Christian wedding.	3.4	172	INR 50000000		$ 29319		7.0	1.0
